+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-06-20
| UUID: cf74523a-a228-415d-8b95-87e20c575643
| Date: 2024-06-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-20,Payload delivery,url,http://117.207.27.98:46835/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.51.120.36:45061/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://39.174.238.55:57785/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://102.33.44.95:51034/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.174.52:40112/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.215.209.2:59306/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.164.24:58258/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://196.188.135.228:44091/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.215.219.134:48878/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.217.164.185:51556/i,Malware distribution site
2024-06-20,Payload delivery,url,http://123.13.35.80:36962/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.202.125.228:54781/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.124.46.204:36282/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.253.119:46762/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://112.248.184.115:58709/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.7.205.17:42566/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://test.kovey-net.ru/V8thsLW8/Tig5Au64,Malware distribution site
2024-06-20,Payload delivery,url,http://117.196.171.141:57248/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://61.52.112.100:49070/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.58.93.138:38360/i,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.52.240:36584/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://175.146.223.63:35583/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.63.218:60277/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.175.25:35898/i,Malware distribution site
2024-06-20,Payload delivery,url,http://112.248.101.46:47337/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.97.114:50183/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://39.88.5.126:33330/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.221.199.72:57014/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.225.197.129:54499/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.236.138.141:33725/i,Malware distribution site
2024-06-20,Payload delivery,url,http://180.115.127.4:35287/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.209.41.28:58605/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.96.250.160:39908/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.52.240:36584/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.207.27.98:46835/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.7.205.17:42566/i,Malware distribution site
2024-06-20,Payload delivery,url,http://123.13.35.80:36962/i,Malware distribution site
2024-06-20,Payload delivery,url,http://125.43.33.98:42156/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://188.19.151.193:40144/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.216.151.55:55010/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://182.124.46.204:36282/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.11.134:59609/i,Malware distribution site
2024-06-20,Payload delivery,url,http://175.146.223.63:35583/i,Malware distribution site
2024-06-20,Payload delivery,url,http://120.57.218.123:38803/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.118.198:33779/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.163.253:39273/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://61.0.214.211:55561/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.221.199.72:57014/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.59.183.42:40763/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.93.181.12:45457/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.198.87:36303/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.96.250.160:39908/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.183.118.67:57342/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.220.146.134:50580/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.96.198.144:47388/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.194.221.52:41130/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://125.45.63.143:34025/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.211.197:38214/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.169.213:34990/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.212.179.99:52424/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.213.81.175:44640/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.53.239.151:46506/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://222.141.235.64:35274/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.224.138.78:33609/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.227.130.253:58462/i,Malware distribution site
2024-06-20,Payload delivery,url,http://60.219.182.247:51670/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://27.207.42.159:33963/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.222.253.231:34976/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://120.57.218.123:38803/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.220.146.134:50580/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.118.198:33779/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.183.13.232:58944/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://61.0.214.211:55561/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.251.251:35083/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://183.95.26.80:37513/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.175.18:58454/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.167.249:39863/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://42.225.204.25:47822/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.98.241:38090/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.213.255.0:40020/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://27.203.186.108:58106/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.211.208.253:59473/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.194.221.52:41130/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.211.197:38214/i,Malware distribution site
2024-06-20,Payload delivery,url,http://115.53.239.151:46506/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.92.45.54:60313/i,Malware distribution site
2024-06-20,Payload delivery,url,http://222.141.101.237:47844/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.194.172.174:55139/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.203.62:37657/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.5.204:34502/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://110.181.115.20:44188/Mozi.a,Malware distribution site
2024-06-20,Payload delivery,url,http://59.93.181.76:33384/i,Malware distribution site
2024-06-20,Payload delivery,url,http://219.157.49.34:36118/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.212.177.195:55677/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.119.10.65:46779/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://39.90.146.77:35781/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.115.46:52245/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.215.208.98:57730/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://125.46.207.120:50317/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.224.137.140:55049/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.251.251:35083/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.225.204.25:47822/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.205.63.186:51276/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.211.210.30:38409/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.216.136:41837/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.202.123.81:41517/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://223.9.127.202:44816/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.245.36.126:34480/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://112.238.131.186:47516/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://222.141.101.237:47844/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.183.13.232:58944/i,Malware distribution site
2024-06-20,Payload delivery,url,http://61.3.183.234:41861/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.242.201.55:50373/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.203.62:37657/i,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.45.183:57955/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://112.249.89.248:53014/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.93.228.213:58147/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.194.172.174:55139/i,Malware distribution site
2024-06-20,Payload delivery,url,http://1.70.132.188:36636/i,Malware distribution site
2024-06-20,Payload delivery,url,http://123.4.68.83:46259/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.165.234:53651/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.206.64.104:38355/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.93.17.169:40589/Mozi.a,Malware distribution site
2024-06-20,Payload delivery,url,http://39.90.146.77:35781/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.224.137.140:55049/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.11.134:59609/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.127.57:45078/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://222.137.236.113:51791/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.215.208.98:57730/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.206.72.7:45051/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://125.46.207.120:50317/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.198.13.6:48121/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://123.12.17.235:41250/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.208.221.238:50129/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://112.238.131.186:47516/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.170.251:52260/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.209.42.2:44645/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.238.237.13:42730/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.214.203.203:57677/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.97.134:34702/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.89.67.206:49781/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.85.209:47338/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://125.44.196.68:38243/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.163.16:42752/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.165.234:53651/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.184.250.254:52477/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.45.183:57955/i,Malware distribution site
2024-06-20,Payload delivery,url,http://115.48.148.61:42349/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://113.90.244.106:55273/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://104.36.177.51:30766/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.80.115:58220/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.223.2.16:37726/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://42.230.47.60:56407/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.127.57:45078/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.198.13.6:48121/i,Malware distribution site
2024-06-20,Payload delivery,url,http://112.248.189.119:44218/mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://110.180.183.220:48217/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.129.205:36866/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.58.126.107:58696/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.184.250.254:52477/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.170.251:52260/i,Malware distribution site
2024-06-20,Payload delivery,url,http://222.141.140.37:60703/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.48.148.61:42349/i,Malware distribution site
2024-06-20,Payload delivery,url,http://58.47.8.203:35264/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.209.42.2:44645/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.39.206:55243/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.117.79.25:52155/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.121.12.117:43680/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://218.29.147.124:59117/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.248.212:60855/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.208.91.19:35621/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.14.64:32840/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.89.67.206:49781/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.242.201.55:50373/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.163.16:42752/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.215.64:32978/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.112.119:46692/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.219.140.244:46977/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://113.90.244.106:55273/i,Malware distribution site
2024-06-20,Payload delivery,url,http://119.178.177.101:43360/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.219.124.227:57533/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.213.93.235:37078/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.101.184:39732/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://115.49.6.206:36272/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.255.180.122:54458/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.93.181.84:33530/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://221.15.95.77:42068/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.242.109.212:60291/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.129.205:36866/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.114.199.94:39550/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://110.180.183.220:48217/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.115.169.205:36103/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.226.221.153:58580/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://222.141.140.37:60703/i,Malware distribution site
2024-06-20,Payload delivery,url,http://58.47.8.203:35264/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.170.82:50495/i,Malware distribution site
2024-06-20,Payload delivery,url,http://222.139.44.120:40706/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://221.14.11.45:57639/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.97.112.119:46692/i,Malware distribution site
2024-06-20,Payload delivery,url,http://123.10.56.224:40396/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.94.89:57631/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.102.122:52951/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.248.212:60855/i,Malware distribution site
2024-06-20,Payload delivery,url,http://113.239.197.223:41765/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.89.68.41:33171/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.195.86.46:35407/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://38.61.176.223:34427/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.6.167:34065/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.89.201.102:44165/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.184.251.74:43333/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.155.69:58570/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://113.228.56.231:52209/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.219.114.211:44041/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://207.188.149.68:11602/.i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.235.67.100:44631/mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.219.135.182:38787/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.92.90.177:40454/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.165.87:47095/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.242.109.212:60291/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.208.239.39:57424/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://116.72.24.11:52831/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.86.90:60812/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.198.9.92:51906/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.243.252.97:60531/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://115.56.100.255:57474/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://222.138.21.182:51246/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://223.15.55.205:53224/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://222.140.186.210:59898/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://46.100.106.36:63177/.i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.213.93.190:56794/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.206.191.161:35706/i,Malware distribution site
2024-06-20,Payload delivery,url,http://123.10.56.224:40396/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.200.179.91:57571/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.89.67.177:54169/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://222.139.44.120:40706/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.226.221.153:58580/i,Malware distribution site
2024-06-20,Payload delivery,url,http://182.113.47.166:47836/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.94.89:57631/i,Malware distribution site
2024-06-20,Payload delivery,url,http://115.49.28.145:56982/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://27.5.16.213:33733/i,Malware distribution site
2024-06-20,Payload delivery,url,http://219.157.20.84:41963/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.217.32:36306/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.98.100.146:54071/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://120.60.229.24:54917/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.215.208.69:43528/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://27.220.181.40:56240/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.199.144:51403/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://42.235.160.129:51736/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.183.94:52063/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.182.138.146:42554/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.184.251.74:43333/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.195.86.46:35407/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.155.69:58570/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.253.217.88:59066/i,Malware distribution site
2024-06-20,Payload delivery,url,http://27.194.75.135:55875/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.196.106.44:46251/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.198.11.199:47858/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.193.175.196:55161/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.208.239.39:57424/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.198.9.232:46531/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.213.93.190:56794/i,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.255.125:55508/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://222.140.186.210:59898/i,Malware distribution site
2024-06-20,Payload delivery,url,http://222.141.140.37:60703/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://61.53.85.188:55099/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.242.239.55:56927/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.82.160:57476/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://219.157.20.84:41963/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.205.60.209:48177/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.89.67.177:54169/i,Malware distribution site
2024-06-20,Payload delivery,url,http://115.49.28.145:56982/i,Malware distribution site
2024-06-20,Payload delivery,url,http://102.221.44.84:58237/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://182.113.47.166:47836/i,Malware distribution site
2024-06-20,Payload delivery,url,http://27.194.75.135:55875/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.215.208.69:43528/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.45.241:46204/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.27.8:45985/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://203.177.28.155:59688/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://120.60.236.194:53211/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.183.94:52063/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.208.112:34809/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://182.127.104.32:58988/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.168.182:46395/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.58.125.147:46100/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.193.175.196:55161/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.91.163:58994/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.198.9.232:46531/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.88.9.109:48533/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://106.51.36.142:39662/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://112.93.200.92:45007/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://115.55.255.125:55508/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.171.148:60851/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.207.29.111:53289/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.207.28.108:46695/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://117.223.7.185:55968/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.220.106:60398/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.82.160:57476/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.239.227.215:43296/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://123.12.228.20:54086/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://115.58.125.147:46100/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.96.200:57333/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://5.42.65.116/vidar1906.exe,Malware distribution site
2024-06-20,Payload delivery,url,http://115.213.180.33:40177/i,Malware distribution site
2024-06-20,Payload delivery,url,http://5.42.65.116/lumma1906.exe,Malware distribution site
2024-06-20,Payload delivery,url,http://5.42.65.116/lumma1906_2.exe,Malware distribution site
2024-06-20,Payload delivery,url,http://203.177.28.155:59688/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.245.26.147:33046/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.224.127.66:51602/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.207.72.81:59392/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.168.182:46395/i,Malware distribution site
2024-06-20,Payload delivery,url,http://5.42.65.116/rise1906.exe,Malware distribution site
2024-06-20,Payload delivery,url,http://123.10.34.253:41095/i,Malware distribution site
2024-06-20,Payload delivery,url,http://120.60.236.194:53211/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.248.165.0:34336/Mozi.m,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.220.106:60398/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.223.2.123:50523/Mozi.a,Malware distribution site
2024-06-20,Payload delivery,url,http://123.8.30.8:40024/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://120.61.27.26:37183/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://123.12.228.20:54086/i,Malware distribution site
2024-06-20,Payload delivery,url,http://42.224.212.237:34498/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.99.216.15:42813/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.245.38.157:53850/i,Malware distribution site
2024-06-20,Payload delivery,url,http://59.95.91.163:58994/i,Malware distribution site
2024-06-20,Payload delivery,url,http://117.254.96.32:56579/i,Malware distribution site
2024-06-20,Payload delivery,url,http://77.45.144.225:52855/bin.sh,Malware distribution site
2024-06-20,Payload delivery,url,http://42.230.184.236:42721/bin.sh,Malware distribution site
